INFO 2025-01-15 13:44:52,849 autoreload Watching for file changes with StatReloader
DEBUG 2025-01-15 13:44:52,929 autoreload File /usr/lib/python3.12/lib-dynload/_contextvars.cpython-312-x86_64-linux-gnu.so first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,929 autoreload File /usr/lib/python3.12/email/contentmanager.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,929 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/db/backends/sqlite3/features.py first seen with mtime 1736859859.1879032
DEBUG 2025-01-15 13:44:52,929 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/core/signing.py first seen with mtime 1736859859.143903
DEBUG 2025-01-15 13:44:52,929 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/corsheaders/defaults.py first seen with mtime 1736860076.3563924
DEBUG 2025-01-15 13:44:52,929 autoreload File /usr/lib/python3.12/asyncio/base_tasks.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,929 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/corsheaders/conf.py first seen with mtime 1736860076.3563924
DEBUG 2025-01-15 13:44:52,929 autoreload File /usr/lib/python3.12/html/__init__.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,929 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/contrib/auth/signals.py first seen with mtime 1736859858.619902
DEBUG 2025-01-15 13:44:52,929 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/contrib/auth/management/__init__.py first seen with mtime 1736859858.7009022
DEBUG 2025-01-15 13:44:52,929 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/db/migrations/operations/models.py first seen with mtime 1736859859.1959033
DEBUG 2025-01-15 13:44:52,929 autoreload File /usr/lib/python3.12/wsgiref/simple_server.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,929 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/utils/timezone.py first seen with mtime 1736859859.2799034
